/* DATA DESCRIPTION:
Citation:	Kuhlmann, Jannis; Huhn, Katrin; Ikari, Matt J (2016): CT scan data of sediment core GeoB14403-8 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.868440, 
	In supplement to: Kuhlmann, J et al. (2016): Do embedded volcanoclastic layers serve as potential glide planes? - An integrated analysis from the Gela Basin offshore southern Sicily. In: Lamarche et al. (eds.) Submarine Mass Movements and Their Consequences. Springer, Heidelberg, 41, 273-280, https://doi.org/10.1007/978-3-319-20979-1_27
Project(s):	Center for Marine Environmental Sciences (MARUM) (URI: https://www.marum.de/en/)
Coverage:	MEDIAN LATITUDE: 36.856745 * MEDIAN LONGITUDE: 14.231745 * SOUTH-BOUND LATITUDE: 36.856660 * WEST-BOUND LONGITUDE: 14.231660 * NORTH-BOUND LATITUDE: 36.856830 * EAST-BOUND LONGITUDE: 14.231830
	DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00
	MINIMUM DEPTH, sediment/rock: 28.1800 m * MAXIMUM DEPTH, sediment/rock: 28.3800 m
Event(s):	MSM15/3_617-1 (GeoB14403-8) * LATITUDE START: 36.856830 * LONGITUDE START: 14.231830 * LATITUDE END: 36.856660 * LONGITUDE END: 14.231660 * DATE/TIME START: 2010-06-30T03:16:00 * DATE/TIME END: 2010-07-01T12:53:00 * ELEVATION START: -185.7 m * ELEVATION END: -182.0 m * CAMPAIGN: MSM15/3 (URI: https://doi.org/10.2312/cr_msm15_3) * BASIS: Maria S. Merian (URI: https://en.wikipedia.org/wiki/RV_Maria_S._Merian) * METHOD/DEVICE: MeBo (Meeresboden-Bohrgerät) (MeBo)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Sample code/label (Sample label) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de)
	Number of slice [#] (No slice) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Radiodensity [HU] (Radiodensity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
	Mesoporosity [%] (Mesoporosity) * PI: Kuhlmann, Jannis (https://orcid.org/0000-0003-0618-0754, jkuhlmann@marum.de) * METHOD/DEVICE: Computer tomography (CT) Toshiba Aquilion 64
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	2632 data points
*/
Depth sed [m]	Sample label	No slice [#]	Radiodensity [HU]	Mesoporosity [%]
28.2202	GeoB14403-8_5P-2	132	1042.58	7.14
28.2205	GeoB14403-8_5P-2	133	1042.64	7.24
28.2208	GeoB14403-8_5P-2	134	1041.09	7.24
28.2211	GeoB14403-8_5P-2	135	1039.65	7.20
28.2214	GeoB14403-8_5P-2	136	1038.26	6.97
28.2217	GeoB14403-8_5P-2	137	1037.64	6.68
28.2220	GeoB14403-8_5P-2	138	1037.73	6.38
28.2223	GeoB14403-8_5P-2	139	1038.11	5.97
28.2226	GeoB14403-8_5P-2	140	1038.20	5.43
28.2229	GeoB14403-8_5P-2	141	1038.72	5.06
28.2232	GeoB14403-8_5P-2	142	1039.58	4.62
28.2235	GeoB14403-8_5P-2	143	1039.60	4.25
28.2238	GeoB14403-8_5P-2	144	1040.41	3.56
28.2241	GeoB14403-8_5P-2	145	1041.77	2.89
28.2244	GeoB14403-8_5P-2	146	1043.25	2.49
28.2247	GeoB14403-8_5P-2	147	1044.80	2.29
28.2251	GeoB14403-8_5P-2	148	1046.57	2.02
28.2254	GeoB14403-8_5P-2	149	1048.59	1.58
28.2257	GeoB14403-8_5P-2	150	1050.70	1.40
28.2260	GeoB14403-8_5P-2	151	1052.42	1.10
28.2263	GeoB14403-8_5P-2	152	1053.54	0.92
28.2266	GeoB14403-8_5P-2	153	1053.80	0.86
28.2269	GeoB14403-8_5P-2	154	1053.24	0.78
28.2272	GeoB14403-8_5P-2	155	1052.47	0.70
28.2275	GeoB14403-8_5P-2	156	1051.61	0.51
28.2278	GeoB14403-8_5P-2	157	1051.45	0.46
28.2281	GeoB14403-8_5P-2	158	1052.82	0.55
28.2284	GeoB14403-8_5P-2	159	1055.04	0.69
28.2287	GeoB14403-8_5P-2	160	1057.27	0.78
28.2290	GeoB14403-8_5P-2	161	1058.79	0.77
28.2293	GeoB14403-8_5P-2	162	1059.66	0.73
28.2296	GeoB14403-8_5P-2	163	1059.67	0.72
28.2299	GeoB14403-8_5P-2	164	1058.84	0.60
28.2302	GeoB14403-8_5P-2	165	1057.31	0.47
28.2305	GeoB14403-8_5P-2	166	1055.35	0.36
28.2308	GeoB14403-8_5P-2	167	1054.24	0.25
28.2311	GeoB14403-8_5P-2	168	1054.27	0.19
28.2314	GeoB14403-8_5P-2	169	1055.38	0.13
28.2318	GeoB14403-8_5P-2	170	1055.82	0.10
28.2321	GeoB14403-8_5P-2	171	1055.67	0.05
28.2324	GeoB14403-8_5P-2	172	1055.06	0.02
28.2327	GeoB14403-8_5P-2	173	1054.06	0.02
28.2330	GeoB14403-8_5P-2	174	1053.47	0.02
28.2333	GeoB14403-8_5P-2	175	1053.27	0.02
28.2336	GeoB14403-8_5P-2	176	1053.22	0.00
28.2339	GeoB14403-8_5P-2	177	1053.18	0.00
28.2342	GeoB14403-8_5P-2	178	1053.16	0.00
28.2345	GeoB14403-8_5P-2	179	1053.28	0.00
28.2348	GeoB14403-8_5P-2	180	1053.38	0.00
28.2351	GeoB14403-8_5P-2	181	1053.28	0.01
28.2354	GeoB14403-8_5P-2	182	1053.48	0.02
28.2357	GeoB14403-8_5P-2	183	1053.23	0.02
28.2360	GeoB14403-8_5P-2	184	1052.55	0.01
28.2363	GeoB14403-8_5P-2	185	1051.66	0.00
28.2366	GeoB14403-8_5P-2	186	1050.14	0.00
28.2369	GeoB14403-8_5P-2	187	1049.55	0.00
28.2372	GeoB14403-8_5P-2	188	1049.12	0.01
28.2375	GeoB14403-8_5P-2	189	1049.45	0.02
28.2378	GeoB14403-8_5P-2	190	1050.15	0.03
28.2381	GeoB14403-8_5P-2	191	1050.06	0.03
28.2384	GeoB14403-8_5P-2	192	1050.40	0.02
28.2388	GeoB14403-8_5P-2	193	1050.69	0.02
28.2391	GeoB14403-8_5P-2	194	1051.10	0.02
28.2394	GeoB14403-8_5P-2	195	1051.32	0.02
28.2397	GeoB14403-8_5P-2	196	1051.45	0.02
28.2400	GeoB14403-8_5P-2	197	1050.81	0.05
28.2403	GeoB14403-8_5P-2	198	1050.10	0.11
28.2406	GeoB14403-8_5P-2	199	1049.49	0.15
28.2409	GeoB14403-8_5P-2	200	1048.50	0.18
28.2412	GeoB14403-8_5P-2	201	1047.59	0.18
28.2415	GeoB14403-8_5P-2	202	1047.50	0.08
28.2418	GeoB14403-8_5P-2	203	1047.32	0.02
28.2421	GeoB14403-8_5P-2	204	1047.09	0.05
28.2424	GeoB14403-8_5P-2	205	1046.80	0.07
28.2427	GeoB14403-8_5P-2	206	1046.25	0.08
28.2430	GeoB14403-8_5P-2	207	1045.87	0.07
28.2433	GeoB14403-8_5P-2	208	1045.20	0.03
28.2436	GeoB14403-8_5P-2	209	1045.07	0.01
28.2439	GeoB14403-8_5P-2	210	1045.34	0.06
28.2442	GeoB14403-8_5P-2	211	1044.69	0.30
28.2445	GeoB14403-8_5P-2	212	1042.47	0.48
28.2448	GeoB14403-8_5P-2	213	1039.27	0.49
28.2451	GeoB14403-8_5P-2	214	1036.74	0.42
28.2454	GeoB14403-8_5P-2	215	1035.83	0.44
28.2458	GeoB14403-8_5P-2	216	1036.44	0.44
28.2461	GeoB14403-8_5P-2	217	1037.70	0.42
28.2464	GeoB14403-8_5P-2	218	1038.88	0.52
28.2467	GeoB14403-8_5P-2	219	1039.41	0.60
28.2470	GeoB14403-8_5P-2	220	1039.04	0.71
28.2473	GeoB14403-8_5P-2	221	1038.38	0.66
28.2476	GeoB14403-8_5P-2	222	1037.71	0.62
28.2479	GeoB14403-8_5P-2	223	1037.65	0.60
28.2482	GeoB14403-8_5P-2	224	1038.25	0.64
28.2485	GeoB14403-8_5P-2	225	1038.45	0.58
28.2488	GeoB14403-8_5P-2	226	1038.30	0.57
28.2491	GeoB14403-8_5P-2	227	1037.07	0.47
28.2494	GeoB14403-8_5P-2	228	1035.48	0.44
28.2497	GeoB14403-8_5P-2	229	1033.84	0.43
28.2500	GeoB14403-8_5P-2	230	1032.49	0.42
28.2503	GeoB14403-8_5P-2	231	1031.72	0.39
28.2506	GeoB14403-8_5P-2	232	1031.52	0.38
28.2509	GeoB14403-8_5P-2	233	1031.86	0.55
28.2512	GeoB14403-8_5P-2	234	1032.03	0.65
28.2515	GeoB14403-8_5P-2	235	1031.97	0.77
28.2518	GeoB14403-8_5P-2	236	1031.26	0.82
28.2521	GeoB14403-8_5P-2	237	1031.47	0.87
28.2525	GeoB14403-8_5P-2	238	1030.71	0.91
28.2528	GeoB14403-8_5P-2	239	1029.37	0.98
28.2531	GeoB14403-8_5P-2	240	1028.10	0.98
28.2534	GeoB14403-8_5P-2	241	1027.04	1.04
28.2537	GeoB14403-8_5P-2	242	1026.04	1.00
28.2540	GeoB14403-8_5P-2	243	1025.16	1.06
28.2543	GeoB14403-8_5P-2	244	1023.67	1.17
28.2546	GeoB14403-8_5P-2	245	1022.03	1.25
28.2549	GeoB14403-8_5P-2	246	1020.45	1.41
28.2552	GeoB14403-8_5P-2	247	1018.69	1.53
28.2555	GeoB14403-8_5P-2	248	1017.12	1.75
28.2558	GeoB14403-8_5P-2	249	1016.05	1.99
28.2561	GeoB14403-8_5P-2	250	1015.07	1.99
28.2564	GeoB14403-8_5P-2	251	1015.23	2.14
28.2567	GeoB14403-8_5P-2	252	1015.31	2.42
28.2570	GeoB14403-8_5P-2	253	1014.80	2.57
28.2573	GeoB14403-8_5P-2	254	1013.65	2.76
28.2576	GeoB14403-8_5P-2	255	1012.45	2.99
28.2579	GeoB14403-8_5P-2	256	1011.65	3.29
28.2582	GeoB14403-8_5P-2	257	1010.84	3.46
28.2585	GeoB14403-8_5P-2	258	1009.93	3.68
28.2588	GeoB14403-8_5P-2	259	1009.20	3.74
28.2591	GeoB14403-8_5P-2	260	1008.10	3.71
28.2595	GeoB14403-8_5P-2	261	1007.13	3.73
28.2598	GeoB14403-8_5P-2	262	1006.40	3.92
28.2601	GeoB14403-8_5P-2	263	1006.29	3.94
28.2604	GeoB14403-8_5P-2	264	1005.90	3.99
28.2607	GeoB14403-8_5P-2	265	1005.73	4.12
28.2610	GeoB14403-8_5P-2	266	1005.54	4.27
28.2613	GeoB14403-8_5P-2	267	1004.86	4.27
28.2616	GeoB14403-8_5P-2	268	1004.00	4.30
28.2619	GeoB14403-8_5P-2	269	1003.58	4.13
28.2622	GeoB14403-8_5P-2	270	1003.04	4.11
28.2625	GeoB14403-8_5P-2	271	1002.11	4.14
28.2628	GeoB14403-8_5P-2	272	1001.11	4.27
28.2631	GeoB14403-8_5P-2	273	1000.59	4.28
28.2634	GeoB14403-8_5P-2	274	1000.05	3.99
28.2637	GeoB14403-8_5P-2	275	999.90	3.88
28.2640	GeoB14403-8_5P-2	276	999.87	3.90
28.2643	GeoB14403-8_5P-2	277	1000.16	4.16
28.2646	GeoB14403-8_5P-2	278	999.23	4.44
28.2649	GeoB14403-8_5P-2	279	997.68	4.68
28.2652	GeoB14403-8_5P-2	280	995.51	4.91
28.2655	GeoB14403-8_5P-2	281	992.49	4.95
28.2658	GeoB14403-8_5P-2	282	990.88	5.04
28.2661	GeoB14403-8_5P-2	283	990.64	5.17
28.2665	GeoB14403-8_5P-2	284	990.86	5.37
28.2668	GeoB14403-8_5P-2	285	991.85	5.76
28.2671	GeoB14403-8_5P-2	286	992.26	6.15
28.2674	GeoB14403-8_5P-2	287	992.33	6.23
28.2677	GeoB14403-8_5P-2	288	992.50	6.33
28.2680	GeoB14403-8_5P-2	289	992.59	6.22
28.2683	GeoB14403-8_5P-2	290	992.39	6.12
28.2686	GeoB14403-8_5P-2	291	991.65	6.05
28.2689	GeoB14403-8_5P-2	292	991.66	5.91
28.2692	GeoB14403-8_5P-2	293	991.36	5.96
28.2695	GeoB14403-8_5P-2	294	991.32	5.98
28.2698	GeoB14403-8_5P-2	295	991.79	6.18
28.2701	GeoB14403-8_5P-2	296	991.93	6.44
28.2704	GeoB14403-8_5P-2	297	992.66	6.49
28.2707	GeoB14403-8_5P-2	298	993.27	6.53
28.2710	GeoB14403-8_5P-2	299	993.37	6.61
28.2713	GeoB14403-8_5P-2	300	994.43	6.65
28.2716	GeoB14403-8_5P-2	301	995.54	6.81
28.2719	GeoB14403-8_5P-2	302	996.77	6.93
28.2722	GeoB14403-8_5P-2	303	996.78	7.03
28.2725	GeoB14403-8_5P-2	304	997.22	7.10
28.2728	GeoB14403-8_5P-2	305	997.23	7.25
28.2732	GeoB14403-8_5P-2	306	997.62	7.60
28.2735	GeoB14403-8_5P-2	307	998.38	7.92
28.2738	GeoB14403-8_5P-2	308	998.44	8.07
28.2741	GeoB14403-8_5P-2	309	998.65	8.22
28.2744	GeoB14403-8_5P-2	310	998.60	8.43
28.2747	GeoB14403-8_5P-2	311	997.84	8.50
28.2750	GeoB14403-8_5P-2	312	996.46	8.46
28.2753	GeoB14403-8_5P-2	313	996.26	8.54
28.2756	GeoB14403-8_5P-2	314	997.35	8.53
28.2759	GeoB14403-8_5P-2	315	998.85	8.63
28.2762	GeoB14403-8_5P-2	316	1000.02	8.42
28.2765	GeoB14403-8_5P-2	317	1000.02	8.54
28.2768	GeoB14403-8_5P-2	318	999.57	8.30
28.2771	GeoB14403-8_5P-2	319	999.35	8.25
28.2774	GeoB14403-8_5P-2	320	1000.08	8.27
28.2777	GeoB14403-8_5P-2	321	1001.89	8.40
28.2780	GeoB14403-8_5P-2	322	1003.25	8.47
28.2783	GeoB14403-8_5P-2	323	1004.90	8.38
28.2786	GeoB14403-8_5P-2	324	1005.85	8.51
28.2789	GeoB14403-8_5P-2	325	1007.04	8.59
28.2792	GeoB14403-8_5P-2	326	1005.36	8.41
28.2795	GeoB14403-8_5P-2	327	1004.17	8.26
28.2798	GeoB14403-8_5P-2	328	1001.07	8.12
28.2802	GeoB14403-8_5P-2	329	998.83	8.25
28.2805	GeoB14403-8_5P-2	330	997.40	8.20
28.2808	GeoB14403-8_5P-2	331	996.69	8.35
28.2811	GeoB14403-8_5P-2	332	997.21	8.64
28.2814	GeoB14403-8_5P-2	333	998.04	8.91
28.2817	GeoB14403-8_5P-2	334	998.66	9.26
28.2820	GeoB14403-8_5P-2	335	998.85	9.42
28.2823	GeoB14403-8_5P-2	336	997.79	9.41
28.2826	GeoB14403-8_5P-2	337	996.36	9.40
28.2829	GeoB14403-8_5P-2	338	994.59	9.14
28.2832	GeoB14403-8_5P-2	339	993.18	8.90
28.2835	GeoB14403-8_5P-2	340	992.18	8.65
28.2838	GeoB14403-8_5P-2	341	991.34	8.40
28.2841	GeoB14403-8_5P-2	342	990.85	7.99
28.2844	GeoB14403-8_5P-2	343	991.20	8.04
28.2847	GeoB14403-8_5P-2	344	992.33	8.33
28.2850	GeoB14403-8_5P-2	345	993.70	8.46
28.2853	GeoB14403-8_5P-2	346	995.07	8.84
28.2856	GeoB14403-8_5P-2	347	996.07	8.91
28.2859	GeoB14403-8_5P-2	348	996.05	8.74
28.2862	GeoB14403-8_5P-2	349	994.70	8.79
28.2865	GeoB14403-8_5P-2	350	992.86	8.59
28.2868	GeoB14403-8_5P-2	351	990.44	8.43
28.2872	GeoB14403-8_5P-2	352	989.66	8.26
28.2875	GeoB14403-8_5P-2	353	988.62	8.34
28.2878	GeoB14403-8_5P-2	354	987.91	8.15
28.2881	GeoB14403-8_5P-2	355	986.95	8.19
28.2884	GeoB14403-8_5P-2	356	987.14	8.31
28.2887	GeoB14403-8_5P-2	357	987.33	8.45
28.2890	GeoB14403-8_5P-2	358	987.39	8.43
28.2893	GeoB14403-8_5P-2	359	986.77	8.06
28.2896	GeoB14403-8_5P-2	360	985.76	7.72
28.2899	GeoB14403-8_5P-2	361	985.61	7.53
28.2902	GeoB14403-8_5P-2	362	985.87	7.28
28.2905	GeoB14403-8_5P-2	363	985.61	7.24
28.2908	GeoB14403-8_5P-2	364	984.72	7.12
28.2911	GeoB14403-8_5P-2	365	983.76	6.73
28.2914	GeoB14403-8_5P-2	366	981.99	6.38
28.2917	GeoB14403-8_5P-2	367	981.04	6.14
28.2920	GeoB14403-8_5P-2	368	980.56	6.07
28.2923	GeoB14403-8_5P-2	369	980.88	5.92
28.2926	GeoB14403-8_5P-2	370	980.79	5.97
28.2929	GeoB14403-8_5P-2	371	980.18	5.98
28.2932	GeoB14403-8_5P-2	372	979.92	5.92
28.2935	GeoB14403-8_5P-2	373	978.82	5.63
28.2939	GeoB14403-8_5P-2	374	976.60	5.56
